date_time,mode_type,location_type,street,xstreet1,xstreet2,x_cord,y_cord,long,lat
2023-01-20 22:36:40,ped,Intersection,,MELNEA CASS BLVD,MASSACHUSETTS AVE,771888.400000000000,2946525.630000000000,-71.0720187219207,42.3326196840612
2018-02-08 22:31:13,ped,Intersection,,MASSACHUSETTS AVE,NEWBURY ST,767503.410000000000,2952151.900000000000,-71.0881353089212,42.3481176082523
2016-12-08 22:25:05,ped,Intersection,,MASSACHUSETTS AVE,THEODORE A GLYNN WAY,772485.500000000000,2945696.260000000000,-71.0698259318927,42.3303356178908
2020-07-04 13:08:48,mv,Street,GENEVA AVE,OLNEY ST,EVERTON ST,771583.750000000000,2936293.200000000000,-71.0732688605932,42.3047014623565
2015-07-30 23:05:45,mv,Street,CAMBRIDGE ST,SPICE ST,RAMP,770623.400000000000,2965350.100000000000,-71.0757921760474,42.3834197174531
2019-05-05 01:12:23,mv,Street,BENNINGTON ST,ANTRIM ST,ASHLEY ST,789941.820000000000,2966427.330000000000,-71.0049794548121,42.3872201874349
2017-04-30 03:19:11,bike,Intersection,,CLARENDON ST,COMMONWEALTH AVE,770731.600000000000,2953817.160000000000,-71.0761628930718,42.3526437142992
2016-11-18 23:44:42,ped,Street,QUINCY ST,DACIA ST,PERTH ST,770447.120000000000,2939714.810000000000,-71.0774857025339,42.3139372472236
2019-09-11 20:47:39,ped,Intersection,,MELCHER ST,SUMMER ST,777541.630000000000,2953067.440000000000,-71.0509839129951,42.3504908183199
2020-11-01 07:49:35,mv,Street,COLUMBIA RD,GLENDALE ST,BIRD ST,773017.700000000000,2939493.190000000000,-71.067971067989,42.3133058277974
2016-10-14 12:33:48,mv,Intersection,,AMERICAN LEGION HWY,CLARE AVE,759279.220000000000,2924559.710000000000,-71.119014577947,42.2725081091216
2015-04-25 21:49:27,mv,Street,MASSACHUSETTS AVE,MAGAZINE ST,PROCTOR ST,773210.410000000000,2944795.500000000000,-71.0675920900894,42.3276574251881
2015-06-12 07:20:40,mv,Intersection,,COMMERCIAL ST,CHARTER ST,775973.180000000000,2959522.670000000000,-71.0566620090566,42.3682265950337
2017-12-20 14:20:38,ped,Intersection,,HERALD ST,WASHINGTON ST,773877.610000000000,2951643.400000000000,-71.0645653421919,42.3466353641946
2015-09-12 03:13:04,mv,Intersection,,HYDE PARK AVE,WALK HILL ST,760016.470000000000,2933138.580000000000,-71.116147875235,42.2960400512773
2021-12-26 19:09:47,mv,Street,PARK ST,MARLOWE ST,UPLAND AVE,774155.790000000000,2933755.230000000000,-71.0639476594279,42.2976836940831
2018-06-06 12:50:00,ped,Street,COMMONWEALTH AVE,REDFORD ST,GRIGGS ST,755018.680000000000,2952144.650000000000,-71.1344725161271,42.3484266558136
2017-11-03 13:53:29,bike,Street,COTTAGE ST,ROBEY ST,NORFOLK AVE,773096.720000000000,2942360.280000000000,-71.067627119629,42.3212630977411
2020-08-11 00:27:23,mv,Street,WOOD AVE,CUMMINS HWY,NOAH ST,761610.640000000000,2924336.260000000000,-71.1104129571945,42.2718650715742
2022-07-13 12:09:14,bike,Intersection,,HUNTINGTON AVE,MASSACHUSETTS AVE,768353.160000000000,2950235.900000000000,-71.0850263869091,42.3428487411832
2016-02-18 20:40:41,ped,Street,HUMBOLDT AVE,MUNROE ST,ELBERT ST,768070.800000000000,2941243.100000000000,-71.0862343305854,42.3181761678855
2017-02-25 09:46:58,mv,Intersection,,TALBOT AVE,LITHGOW ST,772611.610000000000,2930984.610000000000,-71.0696341573585,42.2899643995672
2015-08-07 07:05:28,bike,Intersection,,BEACON ST,MASSACHUSETTS AVE,767133.970000000000,2953148.660000000000,-71.089484198622,42.3508576342531
2020-03-16 14:54:47,ped,Intersection,,ALBANY ST,MASSACHUSETTS AVE,771507.330000000000,2946877.510000000000,-71.0734215289426,42.3335904952016
2018-10-10 18:20:26,mv,Intersection,,NELSON ST,NORFOLK ST,768922.540000000000,2928594.860000000000,-71.083311487046,42.2834570611941
